place,title,time,pay,date
경기 수원시,"CU 영통하이엔드점 일,월,화 야간(23시~06시) 근무자 모집",23:00~06:00,"시급 8,800",10분전
제주 서귀포,성산골든튜립CU편의점 저녁마감 알바 평일(19-25시근무),시간협의,"시급 10,000",11분전
경기 수원시,"CU 영통하이엔드점 일,월,화 야간(23시~06시) 근무자 모집",23:00~06:00,"시급 8,800",11분전
서울 서대문,"목,금저녁아르바이트구함",16:00~22:00,"시급 8,720",12분전
서울 관악구,CU미림점에서 가족 같이 일하실 스텝 모집 합니다~~,19:30~23:00,"시급 8,720",12분전
광주 북구,"평일(수,목) 야간 근무자 모집합니다.",22:00~08:00,"시급 8,720",1분전
서울 관악구,편의점 주말야간 아르바이트 구합니다.,24:00~07:00,"시급 8,900",1분전
서울 강남구,"일원동 수서까치마을 일,월 야간(22:00~07:00)",22:00~07:00,"시급 8,720",1분전
부산 기장군,CU아난티힐튼부산점[직영] 일-목 ＇야간＇ 함께 할 스태프 모집합니다.,22:00~07:00,"시급 8,720",1분전
경기 화성시,CU 동탄호수점  주말 스텝 구합니다,19:00~23:00,"시급 9,000",2분전
서울 동작구,CU아델라이수역점 수~금 스텝구합니다.p7,19:00~23:00,"시급 8,720",2분전
경기 성남시,신규점  함께할   직원   모집   합니다,08:00~15:00,"시급 8,720",2분전
서울 강동구,CU강동축복점 아르바이트 모집,21:00~07:00,"시급 8,720",2분전
경기 남양주,"CU 광릉수목원점 아르바이트(평일목,금) 모집",12:00~19:00,"시급 8,720",3분전
경기 성남시,신규점  함께할   직원   모집   합니다,22:00~08:00,"시급 8,720",3분전
인천 미추홀,CU숭의오거리점 야간 (월목) 스텝 모집합니다.,00:00~07:00,"시급 8,720",4분전
서울 광진구,주중 주말 오후알바 모집 주2~3일가능,20:00~24:00,"시급 8,720",4분전
경남 통영시,CU통영인평점에서 평일 오후 스탭을 모집합니다.,19:30~22:30,"시급 8,720",5분전
강원 홍천군,주말야간 스태프 모집,23:00~08:00,"시급 8,720",5분전
경북 김천시,주말야간스텝구함,01:00~09:00,"시급 8,720",5분전
충북 청주시,주말야간아르바이트구합니다.,24:00~07:00,"시급 8,720",5분전
강원 강릉시,CU  아르바이트 모집합니다,00:00~08:00,"시급 8,720",5분전
경기 수원시,월드메르디아점 cu 야간알바모집,00:00~07:00,"시급 8,720",6분전
경기 포천시,CU 축석고개점 아르바이트(주말오전),23:00~09:00,"시급 8,720",6분전
서울 용산구,"수,금(18~22)근무자 모집합니다",18:00~22:00,"시급 8,720",6분전
경북 구미시,cu인의주공점에서 주말야간 알바생을 모집합니다,00:00~08:00,"시급 8,720",6분전
경기 파주시,평일 야간 알바 모집해요,00:00~07:00,"시급 8,720",7분전
대구 수성구,CU범물하늘채르레브점 주1일(일요일) 야간스태프모집[문자지원],21:00~08:00,"시급 8,720",7분전
경북 영천시,CU영천조교점에서 평일 야간 스태프를 모집합니다.,23:00~08:00,"시급 8,720",8분전
대구 수성구,[문자지원]CU범물하늘채르레브점 평일오후 목~금 주2일 17:00~00:00,17:00~00:00,"시급 8,720",9분전
경기 안양시,주말오후타임,15:00~23:00,"시급 8,720",9분전
충남 당진시,CU당진채운점 일요일 8시~15시 알바구해요,08:00~15:00,"시급 8,720",9분전
강원 강릉시,수요일 야간 아르바이트를 모집합니다,23:00~07:00,"시급 8,720",9분전
경기 광주시,Cu광주장지미소점 평일 야간 구합니다~,22:00~07:00,"시급 8,720",10분전
경기 성남시,평일 야간 스텝 모집합니다.,23:30~09:00,"시급 8,720",10분전
경북 구미시,CU옥계점 평일 오후 스텝 모집(6개월이상),16:00~24:00,"시급 8,720",10분전
광주 광산구,씨유 광산우체국점 주말야간 스태프 구합니다.,12:00~23:00,"시급 8,720",10분전
충북 청주시,주말아르바이트구합니다.,13:00~02:00,"시급 8,720",10분전
경기 성남시,"씨유분당백현마을점 오후(월,화,목 15시~19시)  스태프모집",15:00~19:00,"시급 8,720",11분전
경기 화성시,씨유 동탄호반점에서  평일야간 ㆍ주말 스태프 모집합니다,시간협의,"시급 8,900",11분전
경기 수원시,"CU 영통하이엔드점 일,월,화 야간(23시~06시) 근무자 모집",23:00~06:00,"시급 8,800",11분전
제주 서귀포,성산골든튜립CU편의점 저녁마감 알바 평일(19-25시근무),시간협의,"시급 10,000",12분전
경기 수원시,"CU 영통하이엔드점 일,월,화 야간(23시~06시) 근무자 모집",23:00~06:00,"시급 8,800",12분전
서울 서대문,"목,금저녁아르바이트구함",16:00~22:00,"시급 8,720",13분전
서울 관악구,CU미림점에서 가족 같이 일하실 스텝 모집 합니다~~,19:30~23:00,"시급 8,720",13분전
광주 북구,"평일(수,목) 야간 근무자 모집합니다.",22:00~08:00,"시급 8,720",1분전
서울 관악구,편의점 주말야간 아르바이트 구합니다.,24:00~07:00,"시급 8,900",1분전
서울 강남구,"일원동 수서까치마을 일,월 야간(22:00~07:00)",22:00~07:00,"시급 8,720",1분전
부산 기장군,CU아난티힐튼부산점[직영] 일-목 ＇야간＇ 함께 할 스태프 모집합니다.,22:00~07:00,"시급 8,720",1분전
경기 화성시,CU 동탄호수점  주말 스텝 구합니다,19:00~23:00,"시급 9,000",2분전
서울 동작구,CU아델라이수역점 수~금 스텝구합니다.p7,19:00~23:00,"시급 8,720",2분전
경기 성남시,신규점  함께할   직원   모집   합니다,08:00~15:00,"시급 8,720",2분전
서울 강동구,CU강동축복점 아르바이트 모집,21:00~07:00,"시급 8,720",2분전
경기 남양주,"CU 광릉수목원점 아르바이트(평일목,금) 모집",12:00~19:00,"시급 8,720",3분전
경기 성남시,신규점  함께할   직원   모집   합니다,22:00~08:00,"시급 8,720",3분전
인천 미추홀,CU숭의오거리점 야간 (월목) 스텝 모집합니다.,00:00~07:00,"시급 8,720",4분전
서울 광진구,주중 주말 오후알바 모집 주2~3일가능,20:00~24:00,"시급 8,720",4분전
경남 통영시,CU통영인평점에서 평일 오후 스탭을 모집합니다.,19:30~22:30,"시급 8,720",5분전
강원 홍천군,주말야간 스태프 모집,23:00~08:00,"시급 8,720",5분전
경북 김천시,주말야간스텝구함,01:00~09:00,"시급 8,720",5분전
충북 청주시,주말야간아르바이트구합니다.,24:00~07:00,"시급 8,720",5분전
강원 강릉시,CU  아르바이트 모집합니다,00:00~08:00,"시급 8,720",5분전
경기 수원시,월드메르디아점 cu 야간알바모집,00:00~07:00,"시급 8,720",6분전
경기 포천시,CU 축석고개점 아르바이트(주말오전),23:00~09:00,"시급 8,720",6분전
서울 용산구,"수,금(18~22)근무자 모집합니다",18:00~22:00,"시급 8,720",6분전
경북 구미시,cu인의주공점에서 주말야간 알바생을 모집합니다,00:00~08:00,"시급 8,720",6분전
경기 파주시,평일 야간 알바 모집해요,00:00~07:00,"시급 8,720",7분전
대구 수성구,CU범물하늘채르레브점 주1일(일요일) 야간스태프모집[문자지원],21:00~08:00,"시급 8,720",7분전
경북 영천시,CU영천조교점에서 평일 야간 스태프를 모집합니다.,23:00~08:00,"시급 8,720",8분전
대구 수성구,[문자지원]CU범물하늘채르레브점 평일오후 목~금 주2일 17:00~00:00,17:00~00:00,"시급 8,720",9분전
경기 안양시,주말오후타임,15:00~23:00,"시급 8,720",9분전
충남 당진시,CU당진채운점 일요일 8시~15시 알바구해요,08:00~15:00,"시급 8,720",9분전
강원 강릉시,수요일 야간 아르바이트를 모집합니다,23:00~07:00,"시급 8,720",9분전
경기 광주시,Cu광주장지미소점 평일 야간 구합니다~,22:00~07:00,"시급 8,720",10분전
경기 성남시,평일 야간 스텝 모집합니다.,23:30~09:00,"시급 8,720",10분전
경북 구미시,CU옥계점 평일 오후 스텝 모집(6개월이상),16:00~24:00,"시급 8,720",10분전
광주 광산구,씨유 광산우체국점 주말야간 스태프 구합니다.,12:00~23:00,"시급 8,720",10분전
충북 청주시,주말아르바이트구합니다.,13:00~02:00,"시급 8,720",10분전
경기 성남시,"씨유분당백현마을점 오후(월,화,목 15시~19시)  스태프모집",15:00~19:00,"시급 8,720",11분전
경기 화성시,씨유 동탄호반점에서  평일야간 ㆍ주말 스태프 모집합니다,시간협의,"시급 8,900",11분전
경기 수원시,"CU 영통하이엔드점 일,월,화 야간(23시~06시) 근무자 모집",23:00~06:00,"시급 8,800",11분전
제주 서귀포,성산골든튜립CU편의점 저녁마감 알바 평일(19-25시근무),시간협의,"시급 10,000",12분전
경기 수원시,"CU 영통하이엔드점 일,월,화 야간(23시~06시) 근무자 모집",23:00~06:00,"시급 8,800",12분전
서울 서대문,"목,금저녁아르바이트구함",16:00~22:00,"시급 8,720",13분전
서울 관악구,CU미림점에서 가족 같이 일하실 스텝 모집 합니다~~,19:30~23:00,"시급 8,720",13분전
광주 북구,"평일(수,목) 야간 근무자 모집합니다.",22:00~08:00,"시급 8,720",1분전
서울 관악구,편의점 주말야간 아르바이트 구합니다.,24:00~07:00,"시급 8,900",1분전
서울 강남구,"일원동 수서까치마을 일,월 야간(22:00~07:00)",22:00~07:00,"시급 8,720",1분전
부산 기장군,CU아난티힐튼부산점[직영] 일-목 ＇야간＇ 함께 할 스태프 모집합니다.,22:00~07:00,"시급 8,720",1분전
경기 화성시,CU 동탄호수점  주말 스텝 구합니다,19:00~23:00,"시급 9,000",2분전
서울 동작구,CU아델라이수역점 수~금 스텝구합니다.p7,19:00~23:00,"시급 8,720",2분전
경기 성남시,신규점  함께할   직원   모집   합니다,08:00~15:00,"시급 8,720",2분전
서울 강동구,CU강동축복점 아르바이트 모집,21:00~07:00,"시급 8,720",2분전
경기 남양주,"CU 광릉수목원점 아르바이트(평일목,금) 모집",12:00~19:00,"시급 8,720",3분전
경기 성남시,신규점  함께할   직원   모집   합니다,22:00~08:00,"시급 8,720",3분전
인천 미추홀,CU숭의오거리점 야간 (월목) 스텝 모집합니다.,00:00~07:00,"시급 8,720",4분전
서울 광진구,주중 주말 오후알바 모집 주2~3일가능,20:00~24:00,"시급 8,720",4분전
경남 통영시,CU통영인평점에서 평일 오후 스탭을 모집합니다.,19:30~22:30,"시급 8,720",5분전
강원 홍천군,주말야간 스태프 모집,23:00~08:00,"시급 8,720",5분전
경북 김천시,주말야간스텝구함,01:00~09:00,"시급 8,720",5분전
충북 청주시,주말야간아르바이트구합니다.,24:00~07:00,"시급 8,720",5분전
강원 강릉시,CU  아르바이트 모집합니다,00:00~08:00,"시급 8,720",5분전
경기 수원시,월드메르디아점 cu 야간알바모집,00:00~07:00,"시급 8,720",6분전
경기 포천시,CU 축석고개점 아르바이트(주말오전),23:00~09:00,"시급 8,720",6분전
서울 용산구,"수,금(18~22)근무자 모집합니다",18:00~22:00,"시급 8,720",6분전
경북 구미시,cu인의주공점에서 주말야간 알바생을 모집합니다,00:00~08:00,"시급 8,720",6분전
경기 파주시,평일 야간 알바 모집해요,00:00~07:00,"시급 8,720",7분전
대구 수성구,CU범물하늘채르레브점 주1일(일요일) 야간스태프모집[문자지원],21:00~08:00,"시급 8,720",7분전
경북 영천시,CU영천조교점에서 평일 야간 스태프를 모집합니다.,23:00~08:00,"시급 8,720",8분전
대구 수성구,[문자지원]CU범물하늘채르레브점 평일오후 목~금 주2일 17:00~00:00,17:00~00:00,"시급 8,720",9분전
경기 안양시,주말오후타임,15:00~23:00,"시급 8,720",9분전
충남 당진시,CU당진채운점 일요일 8시~15시 알바구해요,08:00~15:00,"시급 8,720",9분전
강원 강릉시,수요일 야간 아르바이트를 모집합니다,23:00~07:00,"시급 8,720",9분전
경기 광주시,Cu광주장지미소점 평일 야간 구합니다~,22:00~07:00,"시급 8,720",10분전
경기 성남시,평일 야간 스텝 모집합니다.,23:30~09:00,"시급 8,720",10분전
경북 구미시,CU옥계점 평일 오후 스텝 모집(6개월이상),16:00~24:00,"시급 8,720",10분전
광주 광산구,씨유 광산우체국점 주말야간 스태프 구합니다.,12:00~23:00,"시급 8,720",10분전
충북 청주시,주말아르바이트구합니다.,13:00~02:00,"시급 8,720",10분전
경기 성남시,"씨유분당백현마을점 오후(월,화,목 15시~19시)  스태프모집",15:00~19:00,"시급 8,720",11분전
경기 화성시,씨유 동탄호반점에서  평일야간 ㆍ주말 스태프 모집합니다,시간협의,"시급 8,900",11분전
경기 수원시,"CU 영통하이엔드점 일,월,화 야간(23시~06시) 근무자 모집",23:00~06:00,"시급 8,800",11분전
제주 서귀포,성산골든튜립CU편의점 저녁마감 알바 평일(19-25시근무),시간협의,"시급 10,000",12분전
경기 수원시,"CU 영통하이엔드점 일,월,화 야간(23시~06시) 근무자 모집",23:00~06:00,"시급 8,800",12분전
서울 서대문,"목,금저녁아르바이트구함",16:00~22:00,"시급 8,720",13분전
서울 관악구,CU미림점에서 가족 같이 일하실 스텝 모집 합니다~~,19:30~23:00,"시급 8,720",13분전
광주 북구,"평일(수,목) 야간 근무자 모집합니다.",22:00~08:00,"시급 8,720",1분전
서울 관악구,편의점 주말야간 아르바이트 구합니다.,24:00~07:00,"시급 8,900",1분전
서울 강남구,"일원동 수서까치마을 일,월 야간(22:00~07:00)",22:00~07:00,"시급 8,720",1분전
부산 기장군,CU아난티힐튼부산점[직영] 일-목 ＇야간＇ 함께 할 스태프 모집합니다.,22:00~07:00,"시급 8,720",1분전
경기 화성시,CU 동탄호수점  주말 스텝 구합니다,19:00~23:00,"시급 9,000",2분전
서울 동작구,CU아델라이수역점 수~금 스텝구합니다.p7,19:00~23:00,"시급 8,720",2분전
경기 성남시,신규점  함께할   직원   모집   합니다,08:00~15:00,"시급 8,720",2분전
서울 강동구,CU강동축복점 아르바이트 모집,21:00~07:00,"시급 8,720",2분전
경기 남양주,"CU 광릉수목원점 아르바이트(평일목,금) 모집",12:00~19:00,"시급 8,720",3분전
경기 성남시,신규점  함께할   직원   모집   합니다,22:00~08:00,"시급 8,720",3분전
인천 미추홀,CU숭의오거리점 야간 (월목) 스텝 모집합니다.,00:00~07:00,"시급 8,720",4분전
서울 광진구,주중 주말 오후알바 모집 주2~3일가능,20:00~24:00,"시급 8,720",4분전
경남 통영시,CU통영인평점에서 평일 오후 스탭을 모집합니다.,19:30~22:30,"시급 8,720",5분전
강원 홍천군,주말야간 스태프 모집,23:00~08:00,"시급 8,720",5분전
경북 김천시,주말야간스텝구함,01:00~09:00,"시급 8,720",5분전
충북 청주시,주말야간아르바이트구합니다.,24:00~07:00,"시급 8,720",5분전
